image_path,product_id,domain,split
images/0000_consumer_0.jpg,P0000,consumer,train
images/0000_consumer_1.jpg,P0000,consumer,train
images/0000_shop_0.jpg,P0000,shop,train
images/0000_shop_1.jpg,P0000,shop,train
images/0001_consumer_0.jpg,P0001,consumer,train
images/0001_consumer_1.jpg,P0001,consumer,train
images/0001_shop_0.jpg,P0001,shop,train
images/0001_shop_1.jpg,P0001,shop,train
images/0002_consumer_0.jpg,P0002,consumer,train
images/0002_consumer_1.jpg,P0002,consumer,train
images/0002_shop_0.jpg,P0002,shop,train
images/0002_shop_1.jpg,P0002,shop,train
images/0003_consumer_0.jpg,P0003,consumer,train
images/0003_consumer_1.jpg,P0003,consumer,train
images/0003_shop_0.jpg,P0003,shop,train
images/0003_shop_1.jpg,P0003,shop,train
images/0004_consumer_0.jpg,P0004,consumer,train
images/0004_consumer_1.jpg,P0004,consumer,train
images/0004_shop_0.jpg,P0004,shop,train
images/0004_shop_1.jpg,P0004,shop,train
images/0005_consumer_0.jpg,P0005,consumer,train
images/0005_consumer_1.jpg,P0005,consumer,train
images/0005_shop_0.jpg,P0005,shop,train
images/0005_shop_1.jpg,P0005,shop,train
images/0006_consumer_0.jpg,P0006,consumer,train
images/0006_consumer_1.jpg,P0006,consumer,train
images/0006_shop_0.jpg,P0006,shop,train
images/0006_shop_1.jpg,P0006,shop,train
images/0007_consumer_0.jpg,P0007,consumer,train
images/0007_consumer_1.jpg,P0007,consumer,train
images/0007_shop_0.jpg,P0007,shop,train
images/0007_shop_1.jpg,P0007,shop,train
images/0008_consumer_0.jpg,P0008,consumer,train
images/0008_consumer_1.jpg,P0008,consumer,train
images/0008_shop_0.jpg,P0008,shop,train
images/0008_shop_1.jpg,P0008,shop,train
images/0009_consumer_0.jpg,P0009,consumer,train
images/0009_consumer_1.jpg,P0009,consumer,train
images/0009_shop_0.jpg,P0009,shop,train
images/0009_shop_1.jpg,P0009,shop,train
images/0010_consumer_0.jpg,P0010,consumer,train
images/0010_consumer_1.jpg,P0010,consumer,train
images/0010_shop_0.jpg,P0010,shop,train
images/0010_shop_1.jpg,P0010,shop,train
images/0011_consumer_0.jpg,P0011,consumer,train
images/0011_consumer_1.jpg,P0011,consumer,train
images/0011_shop_0.jpg,P0011,shop,train
images/0011_shop_1.jpg,P0011,shop,train
images/0012_consumer_0.jpg,P0012,consumer,train
images/0012_consumer_1.jpg,P0012,consumer,train
images/0012_shop_0.jpg,P0012,shop,train
images/0012_shop_1.jpg,P0012,shop,train
images/0013_consumer_0.jpg,P0013,consumer,train
images/0013_consumer_1.jpg,P0013,consumer,train
